-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.249,  0.280
-183.791, 80.174, 0.363,  0.313
-183.785, 80.160, 0.422,  0.346
-183.776, 80.144, 0.481,  0.379
-183.764, 80.127, 0.542,  0.412
-183.751, 80.107, 0.623,  0.445
-183.736, 80.084, 0.737,  0.478
-183.717, 80.055, 0.885,  0.511
-183.695, 80.023, 1.013,  0.544
-183.673, 79.990, 1.060,  0.577
-183.649, 79.957, 1.082,  0.610
-183.625, 79.923, 1.099,  0.643
-183.601, 79.890, 1.122,  0.676
-183.575, 79.855, 1.161,  0.709
-183.548, 79.819, 1.219,  0.742
-183.519, 79.782, 1.284,  0.775
-183.489, 79.743, 1.343,  0.808
-183.458, 79.703, 1.393,  0.841
-183.425, 79.663, 1.437,  0.874
-183.392, 79.621, 1.477,  0.907
-183.357, 79.579, 1.515,  0.940
-183.322, 79.536, 1.550,  0.973
-183.286, 79.493, 1.583,  1.006
-183.250, 79.449, 1.610,  1.039
-183.213, 79.404, 1.635,  1.072
-183.176, 79.359, 1.659,  1.105
-183.138, 79.314, 1.682,  1.138
-183.101, 79.268, 1.703,  1.171
-183.063, 79.222, 1.721,  1.204
-183.026, 79.175, 1.737,  1.237
-182.989, 79.128, 1.750,  1.270
-182.952, 79.081, 1.763,  1.303
-182.915, 79.033, 1.774,  1.336
-182.880, 78.983, 1.803,  1.369
-182.849, 78.931, 1.817,  1.402
-182.820, 78.878, 1.810,  1.435
-182.791, 78.826, 1.801,  1.468
-182.763, 78.773, 1.797,  1.501
-182.734, 78.721, 1.798,  1.534
-182.706, 78.668, 1.803,  1.567
-182.677, 78.615, 1.807,  1.600
-182.648, 78.562, 1.810,  1.633
-182.620, 78.509, 1.813,  1.666
-182.591, 78.456, 1.815,  1.699
-182.562, 78.402, 1.817,  1.732
